LLM_Keywords,Year
"1. Genomic research
2. Latin America
3. Nation
4. Race
5. Body
6. Public ideas
7. Experts
8. Uneven effects
9. Social contexts
10. Genetic knowledge
11. Society
12. Transnational ideas
13. Public understandings of science",2016
"1. Feyerabend
2. Positivism
3. Scientific research
4. Progressive framework
5. Visualizability
6. Intelligibility
7. Time-conditioned concepts
8. Historical context
9. Atomic theory",2017
"1. Paul Feyerabend
2. Philosophy of science
3. Reappraisal
4. History of philosophy of science
5. Contemporary developments
6. Perspectivism
7. Realism
8. Political philosophy of science
9. Neglected later work",2017
"1. Tendinopathy
2. Physical therapy
3. Clinical reasoning
4. Pain
5. Tendon loading
6. Evidence-informed
7. Management
8. Lower limb
9. Upper limb
10. Prevalence
11. Healthy life
12. Society
13. Expert opinion",2017
"1. Local adaptation
2. Evolutionary biology
3. Heterogeneous spatial context
4. Ongoing evolutionary process
5. American Society of Naturalists
6. Theoretical work
7. Empirical work
8. Laboratory work
9. Fieldwork
10. New data
11. Biodiversity
12. Genetic biodiversity
13. Phenotypic biodiversity",2016
"1. Arthritis
2. Osteoarthritis
3. Biomarkers
4. Risk factors
5. Disease progression
6. Cartilage
7. Early detection
8. Personalized prevention
9. Drug discovery
10. Disease modifying osteoarthritis drugs",2016
"1. Migration
2. Health
3. Cross-border movement
4. Vectors
5. Populations
6. Health professionals
7. Climate
8. Policy trends
9. Global health
10. International health
11. Developed world
12. Developing countries
13. Multidisciplinary approach
14. Population health
15. Social determinants of health",2016
"1. Nursing specialization
2. Scope of practice
3. Standards of professional practice
4. Competencies
5. Specialty nurses
6. Developmental process
7. Best practices
8. Dissemination
9. Stakeholders",2017
"1. Benchmarking
2. Clinical photography services
3. National Health Service (NHS)
4. Improvement
5. Comparison
6. Trial exercise
7. Data analysis
8. NHS Trusts
9. Profession",2017
"1. Evidence-based policy
2. Health systems
3. Maternal and newborn health
4. Pakistan
5. Policy uptake
6. Research dissemination
7. Advocacy
8. Mass media
9. Stakeholder involvement
10. Implementation research
11. Health workforce
12. Equitable access
13. Transportation interventions
14. Health system software
15. Policymaking and evidence",2016
"1. Ecological theory
2. Mathematical model
3. Cancer mechanisms
4. Origin of cancer
5. Formation of cancer
6. Progression of cancer
7. Therapeutic cure
8. Control of cancer
9. Genetic mutations
10. Sub-cellular level
11. Cellular scale
12. Tissue scale",2016
"1. International context
2. Health Information
3. Libraries
4. Journal
5. Practice
6. Sector
7. Best practices
8. Health information and libraries
9. International perspectives
10. Initiatives
11. Conscious fostering
12. Regular feature",2017
"1. Genetic Testing
2. Personal Stories
3. Challenges
4. Benefits
5. Pitfalls
6. Bioethics
7. Public Health
8. Psychology
9. Philosophy
10. Commentary Articles",2016
"1. Conflict resolution
2. Mediation techniques
3. Clinical ethics consultations
4. Emotionally charged situations
5. Communication difficulties
6. Professional mediators
7. Facilitation of difficult conversations
8. Families
9. Surrogates
10. Providers
11. Journal of Clinical Ethics",2016
"1. Mediation
2. Beginning of life
3. End of life
4. Ethics consultants
5. Difficult cases
6. Clinicians
7. Parents
8. Infants
9. Severe genetic conditions
10. Research participants
11. Alzheimer's disease
12. Surrogate decision makers",2016
"1. Male fertility preservation
2. Innovations
3. Questions
4. Benign diseases
5. Malignant diseases
6. Impaired fertility
7. Treatment effects
8. Sperm cryopreservation
9. Prepubertal boys
10. Testicular sperm extraction
11. Stem cells
12. Ethical issues",2016
"1. Euploid blastocysts
2. Viable pregnancies
3. Oocyte environment
4. Embryo metabolism
5. Aging effects
6. Lifestyle factors
7. Psychological stress
8. Nutritional supplements
9. Cellular energy levels
10. Endocrine and paracrine factors
11. Cumulus cells
12. Exogenous gonadotropins
13. Adjunctive medications
14. Culture media
15. In vitro fertilization laboratory",2016
"1. Coarse-graining
2. Macromolecules
3. Biopolymers
4. Membranes
5. Complex fluids
6. Soft materials
7. Structures
8. Dynamics
9. Assembly processes
10. Atomistic modeling",2016
"1. Implementation Science
2. JSLHR Supplement
3. Clinical Practice
4. Research Findings
5. Communication Disorders
6. Evidence-Based Practice
7. Intervention Research
8. Uptake of Evidence-Based Practice
9. Incorporation of Research Findings",2016
"1. Suicidal behavior
2. Measurement
3. Mechanisms
4. Risk assessment
5. Rating scales
6. Suicide rating scales
7. Columbia Suicide Severity Rating Scale (C-SSRS)
8. Suicide Tracking Scale (STS)
9. Sheehan Suicidality Tracking Scale (S-STS)
10. Subtypes of suicidal behavior/ideation",2016
"1. Nanomedicine
2. Drug delivery
3. Virus capsids
4. Gold nanoshells
5. Photothermal therapy
6. Chemotherapy
7. Cancer therapy
8. Gene delivery
9. Antibacterial treatment
10. Anti-Alzheimer treatments
11. Rapid detection
12. Osteogenic differentiation",2016
"1. Grand Challenges
2. Cross-disciplinary collaborations
3. Life sciences
4. Medical sciences
5. Historians
6. Philosophers
7. Interdisciplinarity
8. Transdisciplinarity
9. Goal-driven research
10. Resources
11. Background
12. Context
13. Study
14. Practice
15. Departure from existing literature",2016
"1. Honey bees
2. Viruses
3. Pollination
4. Ecosystem service
5. Food security
6. Apiculture
7. Agriculture
8. Colony losses
9. Bumblebees
10. Research interest
11. Lake Sinai viruses
12. Bee macula-like virus
13. Apis mellifera filamentous virus
14. Mass spectrometry
15. RNAi approach",2016
"1. Bounded Rationality
2. History of Science
3. Knowledge Constraints
4. Scientific Practitioners
5. Material Contexts
6. Ideational Contexts
7. Assumptions and Commitments
8. Influential Portrayals
9. Responses to Bounded Rationality
10. History of Science Theory
11. Open Questions in the History of Science",2016
"1. Bio-ontologies
2. Phenotypes
3. Special issue
4. SIG (Special Interest Group)
5. ISMB (Intelligent Systems for Molecular Biology)
6. Conference
7. Automated re-use
8. Update of ontologies
9. Quality assessment
10. Ontological resources
11. Phenotype variation
12. Manual description
13. Semi-automatic means
14. Fully automatic means",2016
