Original_Keywords,Mapped_Terms,Scores
"Genomic research
Latin America
Nation
Race
Body
Public ideas
Experts
Uneven effects
Social contexts
Genetic knowledge
Society
Transnational ideas
Public understandings of science","Genetic Research
Latin America
Amination
Race Relations
Body Regions
Publications
Ants
Long Term Adverse Effects
Social Norms
Knowledge
Societies
Transients and Migrants
Biological Science Disciplines","0.7336
1.0000
0.7166
0.8816
0.7864
0.6749
0.7829
0.6445
0.6622
0.7161
0.7601
0.5877
0.6566"
"Feyerabend
Positivism
Scientific research
Progressive framework
Visualizability
Intelligibility
Time-conditioned concepts
Historical context
Atomic theory","Fendiline
Negativism
Empirical Research
Group Structure
Visual Perception
Speech Intelligibility
Time Perception
History, 19th Century
Autogenic Training","0.6470
0.5800
0.7342
0.5883
0.6988
0.7684
0.5712
0.6408
0.5265"
"Paul Feyerabend
Philosophy of science
Reappraisal
History of philosophy of science
Contemporary developments
Perspectivism
Realism
Political philosophy of science
Neglected later work","Fendiline
Philosophy
Rationalization
Philosophy
Plant Development
Persons
Symbolism
Philosophy
Delegation, Professional","0.5936
0.8237
0.6554
0.7399
0.6556
0.7606
0.6347
0.6849
0.6189"
"Tendinopathy
Physical therapy
Clinical reasoning
Pain
Tendon loading
Evidence-informed
Management
Lower limb
Upper limb
Prevalence
Healthy life
Society
Expert opinion","Tendinopathy
Exercise
Judgment
Pain
Tendon Transfer
Evidence-Based Medicine
Management Audit
Leg
Upper Extremity
Prevalence
Healthy Lifestyle
Societies
Consensus","1.0000
0.7729
0.6618
1.0000
0.7562
0.7463
0.6125
0.6928
0.6995
1.0000
0.6743
0.7601
0.6772"
"Local adaptation
Evolutionary biology
Heterogeneous spatial context
Ongoing evolutionary process
American Society of Naturalists
Theoretical work
Empirical work
Laboratory work
Fieldwork
New data
Biodiversity
Genetic biodiversity
Phenotypic biodiversity","Food Safety
Evolution, Molecular
Geographic Locations
Biological Evolution
Natural History
Ethical Theory
Empirical Research
Automation, Laboratory
Track and Field
Data Compression
Biodiversity
Genetic Background
Phenotype","0.9793
0.8030
0.5614
0.6275
0.6400
0.7246
0.6641
0.7459
0.6573
0.6219
1.0000
0.6645
0.5395"
"Arthritis
Osteoarthritis
Biomarkers
Risk factors
Disease progression
Cartilage
Early detection
Personalized prevention
Drug discovery
Disease modifying osteoarthritis drugs","Arthritis
Osteoarthritis
Biomarkers
Risk Factors
Disease Progression
Cartilage
Diagnostic Services
Primary Prevention
Drug Discovery
Osteoarthritis","1.0000
1.0000
1.0000
0.9813
0.9036
1.0000
0.7071
0.7397
0.9501
0.6526"
"Migration
Health
Cross-border movement
Vectors
Populations
Health professionals
Climate
Policy trends
Global health
International health
Developed world
Developing countries
Multidisciplinary approach
Population health
Social determinants of health","Animal Migration
Health
Animal Migration
Genetic Vectors
Vulnerable Populations
Professional Role
Climate
Population Growth
Global Health
Allied Health Personnel
Western World
Developing Countries
Interdisciplinary Communication
Population Control
Social Determinants of Health","0.8117
1.0000
0.7122
0.7784
0.7068
0.7937
1.0000
0.5305
0.9506
0.6418
0.6851
0.7794
0.6132
0.6480
0.8261"
"Nursing specialization
Scope of practice
Standards of professional practice
Competencies
Specialty nurses
Developmental process
Best practices
Dissemination
Stakeholders","Nursing Records
Group Practice
Professional Practice Gaps
Clinical Competence
Specialties, Nursing
Embryonic Development
Group Practice
Insemination
Lawyers","0.8571
0.7929
0.7677
0.6617
0.7655
0.8492
0.8365
0.7932
0.6891"
"Benchmarking
Clinical photography services
National Health Service (NHS)
Improvement
Comparison
Trial exercise
Data analysis
NHS Trusts
Profession","Benchmarking
Photography
National Health Insurance, United States
Achievement
Time
Exercise
Food Analysis
Nurses, International
Professional Role","1.0000
0.7653
0.7327
0.6457
0.9739
0.8227
0.7686
0.5714
0.7663"
"Evidence-based policy
Health systems
Maternal and newborn health
Pakistan
Policy uptake
Research dissemination
Advocacy
Mass media
Stakeholder involvement
Implementation research
Health workforce
Equitable access
Transportation interventions
Health system software
Policymaking and evidence","Evidence-Based Practice
Political Systems
Maternal Health
Pakistan
Photosynthesis
Research Report
Patient Advocacy
Mass Media
Committee Membership
Support of Research
Workplace
Health Equity
Transportation
Health Information Systems
Pensions","0.7598
0.8011
0.6585
1.0000
0.4663
0.7266
0.8357
0.8060
0.6971
0.7143
0.7610
0.7359
0.8258
0.7151
0.5893"
"Ecological theory
Mathematical model
Cancer mechanisms
Origin of cancer
Formation of cancer
Progression of cancer
Therapeutic cure
Control of cancer
Genetic mutations
Sub-cellular level
Cellular scale
Tissue scale","Social Theory
Mathematical Concepts
Acer
Early Detection of Cancer
Cocarcinogenesis
Early Detection of Cancer
Treatment Failure
Early Detection of Cancer
Mutation
Subcellular Fractions
Cell Count
Tissues","0.7112
0.8047
0.5666
0.6565
0.6565
0.6020
0.6785
0.6692
0.7869
0.6037
0.5811
0.7161"
"International context
Health Information
Libraries
Journal
Practice
Sector
Best practices
Health information and libraries
International perspectives
Initiatives
Conscious fostering
Regular feature","International Law
Health Information Management
Libraries
Writing
Professional Practice
Photosynthesis
Group Practice
Libraries, Hospital
Reference Standards
Interinstitutional Relations
Child Custody
Remission, Spontaneous","0.6276
0.8826
1.0000
0.8026
0.8162
0.6457
0.8365
0.6483
0.7265
0.5930
0.5801
0.5250"
"Genetic Testing
Personal Stories
Challenges
Benefits
Pitfalls
Bioethics
Public Health
Psychology
Philosophy
Commentary Articles","Genetic Testing
Personal Narratives
Patient Rights
Survival Rate
Hip
Bioethics
Public Health
Psychology
Philosophy
Comment","1.0000
0.7029
0.7354
0.7421
0.6330
1.0000
1.0000
1.0000
1.0000
0.7780"
"Conflict resolution
Mediation techniques
Clinical ethics consultations
Emotionally charged situations
Communication difficulties
Professional mediators
Facilitation of difficult conversations
Families
Surrogates
Providers
Journal of Clinical Ethics","Structure Collapse
Meditation
Ethics Consultation
Emotional Intelligence
Communication Barriers
Interprofessional Relations
Communication Barriers
Family Health
Surgery, Oral
Physicians
Codes of Ethics","0.5461
0.6996
0.8161
0.6725
0.6826
0.7044
0.6332
0.7644
0.6307
0.7102
0.7199"
