id,title,publication_date,abstract,MeSH,Year,Original_Keywords,Mapped_Terms,Scores
"27479996
12646676
15372732
15678141
25789799
12045138
21553638
19227818
15948338
27479997
27479998
27479999
23903910
18959734
19227820
14550617
20614657
27480001
27480000
18369456","Genomic research, publics and experts in Latin America: Nation, race and body.",2016-08-03,"The articles in this issue highlight contributions that studies of Latin America can make to wider debates about the effects of genomic science on public ideas about race and nation. We argue that current ideas about the power of genomics to transfigure and transform existing ways of thinking about human diversity are often overstated. If a range of social contexts are examined, the effects are uneven. Our data show that genomic knowledge can unsettle and reinforce ideas of nation and race; it can be both banal and highly politicized. In this introduction, we outline concepts of genetic knowledge in society; theories of genetics, nation and race; approaches to public understandings of science; and the Latin American contexts of transnational ideas of nation and race.",Genomics|Humans|Latin America|Racial Groups,2016,"Genomic research
Latin America
Nation
Race
Body
Public ideas
Experts
Uneven effects
Social contexts
Genetic knowledge
Society
Transnational ideas
Public understandings of science","Genetic Research
Latin America
Amination
Race Relations
Body Regions
Publications
Ants
Long Term Adverse Effects
Social Norms
Knowledge
Societies
Transients and Migrants
Biological Science Disciplines","0.7336
1.0000
0.7166
0.8816
0.7864
0.6749
0.7829
0.6445
0.6622
0.7161
0.7601
0.5877
0.6566"
27269264,Der Begriff der Verständlichkeit in der modernen Physik (1948).,2016-06-09,"This is a critical transcription of Paul Feyerabend's earliest extant essay ""Der Begriff der Verständlichkeit in der modernen Physik"" (1948) recovered from the European Forum Alpbach archives. In it, Feyerabend defends positivism as a progressive framework for scientific research in certain stages of scientific development. He argues that in physics visualizability (Anschaulichkeit) and intelligibility (Verständlichkeit) are time-conditioned concepts: what is deemed visualizable in the development of physical theories is relative to a specific historical context and changes over time. He concludes that from time to time the abandonment of visualizability is crucial for progress in physics, as it is conducive to major theory change, illustrating the point on the basis of advances in atomic theory.","History, 20th Century|Philosophy|Physics|Research",2017,"Feyerabend
Positivism
Scientific research
Progressive framework
Visualizability
Intelligibility
Time-conditioned concepts
Historical context
Atomic theory","Fendiline
Negativism
Empirical Research
Group Structure
Visual Perception
Speech Intelligibility
Time Perception
History, 19th Century
Autogenic Training","0.6470
0.5800
0.7342
0.5883
0.6988
0.7684
0.5712
0.6408
0.5265"
27269258,Introduction: Reappraising Paul Feyerabend.,2016-06-09,"This volume is devoted to a reappraisal of the philosophy of Paul Feyerabend. It has four aims. The first is to reassess his already well-known work from the 1960s and 1970s in light of contemporary developments in the history and philosophy of science. The second is to explore themes in his neglected later work, including recently published and previously unavailable writings. The third is to assess the contributions that Feyerabend can make to contemporary debate, on topics such as perspectivism, realism, and political philosophy of science. The fourth and final aim is to reconsider Feyerabend's place within the history of philosophy of science in the light of new scholarship.","History, 20th Century|Philosophy|Science",2017,"Paul Feyerabend
Philosophy of science
Reappraisal
History of philosophy of science
Contemporary developments
Perspectivism
Realism
Political philosophy of science
Neglected later work","Fendiline
Philosophy
Rationalization
Philosophy
Plant Development
Persons
Symbolism
Philosophy
Delegation, Professional","0.5936
0.8237
0.6554
0.7399
0.6556
0.7606
0.6347
0.6849
0.6189"
27136285,Tendinopathy: Evidence-Informed Physical Therapy Clinical Reasoning.,2016-05-03,"Patients presenting with pain at the tendon, which is associated with physical tasks and activities that specifically load that tendon, are at the center of this special issue. The current terminology for a symptomatic tendon presentation is tendinopathy, as this does not denote an underlying pathology, but rather signals that all is not well in the tendon. Tendinopathy is a prevalent and substantial problem, as it interferes with a person's capacity to lead a physically active and healthy life, which has a considerable flow-on effect on society in general. This issue deals with the contemporary physical therapy management of tendinopathy by providing a mix of evidence review and clinical expert opinion on commonly presenting tendinopathies of the lower and upper limbs. J Orthop Sports Phys Ther 2015;45(11):816-818. doi:10.2519/jospt.2015.0110.",Activities of Daily Living|Humans|Physical Therapy Modalities|Quality of Life|Tendinopathy,2017,"Tendinopathy
Physical therapy
Clinical reasoning
Pain
Tendon loading
Evidence-informed
Management
Lower limb
Upper limb
Prevalence
Healthy life
Society
Expert opinion","Tendinopathy
Exercise
Judgment
Pain
Tendon Transfer
Evidence-Based Medicine
Management Audit
Leg
Upper Extremity
Prevalence
Healthy Lifestyle
Societies
Consensus","1.0000
0.7729
0.6618
1.0000
0.7562
0.7463
0.6125
0.6928
0.6995
1.0000
0.6743
0.7601
0.6772"
27071207,Modern Approaches to Local Adaptation.,2016-04-14,"The study of local adaptation has been very important for the development of evolutionary biology broadly. This tradition continues; through new developments in diverse areas, we have more insight into the nature of the ongoing evolutionary process in a heterogeneous spatial context than ever before. This special issue follows from the 2014 Vice-Presidential Symposium of the American Society of Naturalists, bringing together outstanding researchers doing theoretical and empirical work, laboratory work, and fieldwork, with new data and new nodes of analysis. Through study of local adaptation, we learn about a tremendous source of biodiversity, both genetic and phenotypic, within and among species.","Adaptation, Physiological|Animals|Biodiversity|Biological Evolution|Phenotype|Selection, Genetic",2016,"Local adaptation
Evolutionary biology
Heterogeneous spatial context
Ongoing evolutionary process
American Society of Naturalists
Theoretical work
Empirical work
Laboratory work
Fieldwork
New data
Biodiversity
Genetic biodiversity
Phenotypic biodiversity","Food Safety
Evolution, Molecular
Geographic Locations
Biological Evolution
Natural History
Ethical Theory
Empirical Research
Automation, Laboratory
Track and Field
Data Compression
Biodiversity
Genetic Background
Phenotype","0.9793
0.8030
0.5614
0.6275
0.6400
0.7246
0.6641
0.7459
0.6573
0.6219
1.0000
0.6645
0.5395"
"26954784
26671823
12565700
11297982
16733093
26707988
23194896
11240971
24751192
22155587
9571450
21163358
25635347
23296390
26033164
24553908
26521734
22960092
25179281
3377350
26432512
26521742
24047870
1556121
19836480
22261406
26954785
24792945
26862954
25828845
19195497
26863055
26179188
26006054
26848781
26809774
23954702
22330175
9588729
25266449
8311563
23897772
26535137
26864288
25637957
22842200
24061701
24170255
25593231
24821851
23424683
26439406
17538566
22538364
11178118
22231237
22387238
26094910
24176735
25923811
22057346",Biomarkers of (osteo)arthritis.,2016-03-10,"Arthritic diseases are a major cause of disability and morbidity, and cause an enormous burden for health and social care systems globally. Osteoarthritis (OA) is the most common form of arthritis. The key risk factors for the development of OA are age, obesity, joint trauma or instability. Metabolic and endocrine diseases can also contribute to the pathogenesis of OA. There is accumulating evidence to suggest that OA is a whole-organ disease that is influenced by systemic mediators, inflammaging, innate immunity and the low-grade inflammation induced by metabolic syndrome. Although all joint tissues are implicated in disease progression in OA, articular cartilage has received the most attention in the context of aging, injury and disease. There is increasing emphasis on the early detection of OA as it has the capacity to target and treat the disease more effectively. Indeed it has been suggested that this is the era of ""personalized prevention"" for OA. However, the development of strategies for the prevention of OA require new and sensitive biomarker tools that can detect the disease in its molecular and pre-radiographic stage, before structural and functional alterations in cartilage integrity have occurred. There is also evidence to support a role for biomarkers in OA drug discovery, specifically the development of disease modifying osteoarthritis drugs. This Special Issue of Biomarkers is dedicated to recent progress in the field of OA biomarkers. The papers in this Special Issue review the current state-of-the-art and discuss the utility of OA biomarkers as diagnostic and prognostic tools.",Animals|Arthritis|Biomarkers|Early Diagnosis|Humans|Joints|Osteoarthritis|Predictive Value of Tests|Prognosis,2016,"Arthritis
Osteoarthritis
Biomarkers
Risk factors
Disease progression
Cartilage
Early detection
Personalized prevention
Drug discovery
Disease modifying osteoarthritis drugs","Arthritis
Osteoarthritis
Biomarkers
Risk Factors
Disease Progression
Cartilage
Diagnostic Services
Primary Prevention
Drug Discovery
Osteoarthritis","1.0000
1.0000
1.0000
0.9813
0.9036
1.0000
0.7071
0.7397
0.9501
0.6526"
26947274,Migration: Wall to Wall?,2016-03-08,"It is no news to anyone that health transcends national borders, driven by cross-border movement of vectors, populations, health professionals, climate, even policy trends. There is an increasing recognition that it is, in fact, a small world: we are affected by and affect what happens to our neighbors, whether they live around the corner or on the other side of the globe. This conception underpins the shift from the term international health to global health in policy discussions. The new terminology reflects change across several dimensions: from an approach in which there is one medicine for the developed world and another for developing countries, to an appreciation that we all have a stake in one another's wellbeing; from a primarily biomedical focus on treatment to a more multidisciplinary, population health focus taking into consideration a range of interventions to improve health and well-being, including the social and environmental determinants of health; and from a vertical bilateral-aid approach focused on specific diseases, to systems and ecological approaches addressing the complexities of health, involving multiple partnerships.",Cuba|Developing Countries|Emigration and Immigration|Global Health|Health Policy|Health Services Needs and Demand|Humans,2016,"Migration
Health
Cross-border movement
Vectors
Populations
Health professionals
Climate
Policy trends
Global health
International health
Developed world
Developing countries
Multidisciplinary approach
Population health
Social determinants of health","Animal Migration
Health
Animal Migration
Genetic Vectors
Vulnerable Populations
Professional Role
Climate
Population Growth
Global Health
Allied Health Personnel
Western World
Developing Countries
Interdisciplinary Communication
Population Control
Social Determinants of Health","0.8117
1.0000
0.7122
0.7784
0.7068
0.7937
1.0000
0.5305
0.9506
0.6418
0.6851
0.7794
0.6132
0.6480
0.8261"
26882420,Best Practices for Developing Specialty Nursing Scope and Standards of Practice.,2016-02-18,"Nursing specialization involves focusing on nursing practice in an identified specific area within the entire field of professional nursing. A defined specialty scope of practice statement and standards of professional practice, with accompanying competencies, are unique to each nursing specialty. These documents help assure continued understanding and recognition of nursing's diverse professional contributions. The purpose of this article is to demystify the process for specialty nurses who are creating or revising their specialty nursing scope and standards of practice. We provide best practices for the developmental process based on our recently published scope and standards of specialty nursing practice. The conclusion provides strategies to disseminate scope and standards documents to appropriate stakeholders.","Humans|Nursing Education Research|Nursing Process|Practice Guidelines as Topic|Professional Competence|Societies, Nursing|Specialties, Nursing|United States",2017,"Nursing specialization
Scope of practice
Standards of professional practice
Competencies
Specialty nurses
Developmental process
Best practices
Dissemination
Stakeholders","Nursing Records
Group Practice
Professional Practice Gaps
Clinical Competence
Specialties, Nursing
Embryonic Development
Group Practice
Insemination
Lawyers","0.8571
0.7929
0.7677
0.6617
0.7655
0.8492
0.8365
0.7932
0.6891"
26828540,Benchmarking clinical photography services in the NHS.,2016-02-02,Benchmarking is used in services across the National Health Service (NHS) using various benchmarking programs. Clinical photography services do not have a program in place and services have to rely on ad hoc surveys of other services. A trial benchmarking exercise was undertaken with 13 services in NHS Trusts. This highlights valuable data and comparisons that can be used to benchmark and improve services throughout the profession.,Benchmarking|Medical Illustration|Photography|State Medicine,2017,"Benchmarking
Clinical photography services
National Health Service (NHS)
Improvement
Comparison
Trial exercise
Data analysis
NHS Trusts
Profession","Benchmarking
Photography
National Health Insurance, United States
Achievement
Time
Exercise
Food Analysis
Nurses, International
Professional Role","1.0000
0.7653
0.7327
0.6457
0.9739
0.8227
0.7686
0.5714
0.7663"
"26791789
7833721
16510878
22651257
24604060
16344283
25174787
17395848
23237181
16035601
15913387
21679388
21679389
2861534
17027735
11302911
21857809
26791944
26792061
26792198
26792364
26792513
26792610
12000772
26792666
26790406
26790620
26790719
26790926
26791077
11557716
12057549
15901862
23721752
17027730
25318590
24259324
20957426
15355544
25753054
10818123
25744556
24309475","Bridging evidence, policy, and practice to strengthen health systems for improved maternal and newborn health in Pakistan.",2016-01-23,"Policy and decision making should be based on evidence, but translating evidence into policy and practice is often sporadic and slow. It is recognised that the relationship between research and policy uptake is complex and that dissemination of research findings is necessary, but insufficient, for policy uptake. Political, social, and economic context, use of (credible) data and dialogues between and across networks of researchers and policymakers play important roles in evidence uptake. Advocacy is the process of mobilising political and public opinions to achieve specific aims and its role is crucial in mobilising key actors to push for policy uptake. Advocacy and research groups (i.e. those who would like to see research evidence used by policymakers) may use different approaches and tools to stimulate the diffusion of research findings. The use of mass- and social media, communication with study participants, and the involvement of stakeholders at the early stages of research development are examples of the approaches that can be employed to stimulate diffusion of evidence and increase evidence uptake. The Research and Advocacy Fund (RAF) for Maternal and Newborn Health (MNH) worked within the health system context in Pakistan with the aim of espousing the principles of evidence, advocacy, and dissemination to improve MNH outcomes. The articles included in this special issue are outputs of RAF and highlight where RAF's approaches contributed to MNH policy reforms. The papers discuss critical health system issues facing Pakistan, including service delivery components, demand creation, equitable access, transportation interventions for improved referrals, availability of medicines and equipment, and health workforce needs. In addition to these tangible elements, the health system 'software', i.e. the power and the political and social contexts, is also represented in the collection. These articles highlight three considerations for the future: the growing importance of implementation research, the crucial need for participation and ownership, and the recognition that policymaking can be 'informed' by rather than 'based-on' evidence. The future challenge will be to continue the momentum RAF has created and to welcome a new era of health, wealth, and growth for Pakistan.","Adult|Delivery of Health Care|Female|Government Programs|Health Policy|Humans|Infant Health|Infant, Newborn|Maternal Health|Maternal-Child Health Services|Pakistan|Pregnancy",2016,"Evidence-based policy
Health systems
Maternal and newborn health
Pakistan
Policy uptake
Research dissemination
Advocacy
Mass media
Stakeholder involvement
Implementation research
Health workforce
Equitable access
Transportation interventions
Health system software
Policymaking and evidence","Evidence-Based Practice
Political Systems
Maternal Health
Pakistan
Photosynthesis
Research Report
Patient Advocacy
Mass Media
Committee Membership
Support of Research
Workplace
Health Equity
Transportation
Health Information Systems
Pensions","0.7598
0.8011
0.6585
1.0000
0.4663
0.7266
0.8357
0.8060
0.6971
0.7143
0.7610
0.7359
0.8258
0.7151
0.5893"
